weight,word,category,certainty,notes
2,Calcyon neuron specific vesicular protein,,,
2,Carbonic anhydrase 3,,,
2,CASP2 and RIPK1 domain containing adaptor with death domain,,,
2,Caveolae associated protein 1,,,
2,CC chemokine SCYA112 isoform X1,,,
2,CD86 molecule,,,
2,Centrosomal protein 70,,,
2,Centrosomal protein 83,,,
2,Claudin,,,
2,claudin-4-like,,,
2,collagen alpha-1(XXIII) chain-like,,,
2,Collagen alpha-2(I) chain,,,
2,Collagen type I alpha 2 chain,,,
2,Collagen type IV alpha 3 chain,,,
2,Complement C1q-like protein 4,,,
2,CPSF_A domain-containing protein,,,
2,Cryptocyanin (Fragment),,,
2,"Crystallin, beta B2",,,
2,Cyclic nucleotide-binding domain-containing protein 2,,,
2,Cytochrome P450 family 2 subfamily U member 1,,,
2,Cytoplasmic dynein 2 heavy chain 1,,,
2,DDE Tnp4 domain-containing protein,,,
2,DEP domain-containing mTOR-interacting protein,,,
2,Desmin,,,
2,desmoplakin-like isoform X3,,,
2,Diacylglycerol kinase,,,
2,DNA helicase,,,
2,DNA mismatch repair protein,,,
2,DnaJ-like subfamily C member 17,,,
2,Dual specificity protein phosphatase,,,
2,Dynactin subunit 2,,,
2,Dynein axonemal heavy chain 8,,,
2,E3 ubiquitin-protein ligase parkin,,,
2,E3 ubiquitin-protein ligase RNF31-like,,,
2,EF-hand calcium binding domain 7,,,
2,Elongation factor 1-alpha 2,,,
2,"Elongation factor G, mitochondrial",,,
2,Enhancer of mRNA decapping 4,,,
2,eukaryotic translation initiation factor 4B isoform X1,,,
2,Exocyst complex component 8,,,
2,Exosome complex exonuclease RRP44,,,
2,Family with sequence similarity 160 member A1,,,
2,Fast myosin light chain 2 (Fragment),,,
2,FAT atypical cadherin 2,,,
2,FGFR1 oncogene partner,,,
2,Forkhead box protein N4,,,
2,Four and a half LIM domains 3,,,
2,Four and a half LIM domains protein 2,,,
2,Fucose kinase,,,
2,Fumarylacetoacetase,,,
2,Furry homolog a (Drosophila),,,
2,GLI family zinc finger 4,,,
2,Glycos_transf_1 domain-containing protein,,,
2,Golgin B1,,,
2,Guanine nucleotide-binding protein G(Q) subunit alpha,,,
2,Guanylate cyclase,,,
2,Heat shock 70 kDa protein,,,
2,Heat shock protein family A (Hsp70) member 2,,,
2,Hexosyltransferase,,,
2,Histone-lysine N-methyltransferase SETDB1-A,,,
2,Insulin-like growth factor binding protein 3 paralog B2,,,
2,Isocitrate dehydrogenase [NADP],,,
2,Junction plakoglobin,,,
2,"Keratin, type II cytoskeletal 75",,,
2,"Keratin, type II cytoskeletal 79",,,
2,Kinetochore protein Spc24,,,
2,L-lactate dehydrogenase C chain,,,
2,Laminin subunit alpha 3,,,
2,leucine-rich repeat-containing protein 10-like,,,
2,leucine-rich repeat-containing protein 3-like,,,
2,Lipocalin 2,,,
2,LIX1-like protein,,,
2,Major facilitator superfamily domain-containing protein 10,,,
2,MAP kinase-activating death domain protein isoform X1,,,
2,Matrilin 1,,,
2,MHC class II antigen,,,
2,Microtubule associated protein 1B,,,
2,MINDY_DUB domain-containing protein,,,
2,Mitotic checkpoint serine/threonine-protein kinase BUB1 beta,,,
2,Mucin-5AC (Fragment),,,
2,Myeloid protein 1,,,
2,Myomesin 2,,,
2,"Myosin binding protein C, cardiac",,,
2,Myosin light chain 6B,,,
2,Myosin XIX,,,
2,myosin-7B isoform X1,,,
2,"Myosin, heavy chain 7B, cardiac muscle, beta a",,,
2,NADPH oxidase 1 (Fragment),,,
2,Nipped-B protein,,,
2,non-syndromic hearing impairment protein 5 homolog,,,
2,NOP2/Sun RNA methyltransferase 5,,,
2,Nuclear mitotic apparatus protein 1,,,
2,Nuclear transcription factor Y subunit beta,,,
2,P/Homo B domain-containing protein,,,
2,"Phosphate cytidylyltransferase 1, choline, beta a",,,
2,Phosphoacetylglucosamine mutase,,,
2,Phosphoinositide phospholipase C,,,
2,Phospholipid-transporting ATPase (Fragment),,,
2,Phosphorylase b kinase regulatory subunit,,,
2,Phosphoserine aminotransferase,,,
2,PIPK domain-containing protein,,,
2,Piwi-like protein 2,,,
2,PLA2c domain-containing protein,,,
2,plexin domain-containing protein 1-like isoform X1,,,
2,POU domain protein,,,
2,Protein kinase C,,,
2,Protein S100,,,
2,protein-glutamine gamma-glutamyltransferase 2-like,,,
2,Pyruvate kinase (Fragment),,,
2,RAP domain-containing protein,,,
2,RAS protein activator like-3-like isoform X1,,,
2,Ras-GAP domain-containing protein,,,
2,ras-related protein Rab-15-like isoform X1,,,
2,Ras-related protein Rab-35,,,
2,Receptor protein-tyrosine kinase,,,
2,Reticulon-4 receptor-like 2,,,
2,Reverse transcriptase domain-containing protein,,,
2,Rho family-interacting cell polarization regulator 2,,,
2,Rho GTPase activating protein 22,,,
2,Rho-associated protein kinase,,,
2,Ribosomal_L7Ae domain-containing protein,,,
2,ribosome-binding protein 1-like isoform X1,,,
2,RIMS-binding protein 2,,,
2,RING-type domain-containing protein,,,
2,Sentrin-specific protease 7,,,
2,Serine-protein kinase ATM,,,
2,Serine/threonine-protein kinase,,,
2,serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A-like,,,
2,Serpin A3-1,,,
2,Serpin family B member 7,,,
2,Sodium-calcium exchanger,,,
2,Solute carrier family 12 member 9,,,
2,SPARC_Ca_bdg domain-containing protein,,,
2,Structural maintenance of chromosomes protein,,,
2,Succinate dehydrogenase complex subunit C,,,
2,Sulfhydryl oxidase,,,
2,Syntenin-1 (Fragment),,,
2,Tektin 5,,,
2,Tetratricopeptide repeat protein 25,,,
2,"Titin, tandem duplicate 2",,,
2,Transcription factor 20 (Fragment),,,
2,Transcription factor RFX3,,,
2,Transmembrane channel-like protein,,,
2,Transmembrane protein C14orf101-like protein,,,
2,Trinucleotide repeat containing adaptor 6B,,,
2,Tripartite motif-containing protein 2,,,
2,Trophinin,,,
2,"Troponin I type 2a (skeletal, fast), tandem duplicate 1",,,
2,"Troponin T3, fast skeletal type",,,
2,tubby-related protein 1-like,,,
2,Type I collagen proa3 chain,,,
2,Ubiquitin like 7,,,
2,UDP-glucuronosyltransferase,,,
2,Uncharacterized protein C1orf88-like protein (Fragment),,,
2,uncharacterized protein LOC106577652 isoform X1,,,
2,Vimentin,,,
2,Vitelline coat lysin M6 (Fragment),,,
2,VWFA and cache domain-containing protein 1,,,
2,VWFA domain-containing protein,,,
2,WD repeat domain 6,,,
2,WD repeat-containing protein 24,,,
2,Zgc:158846,,,
2,zinc finger and BTB domain-containing protein 40,,,
2,Zinc finger protein 469,,,
2,zinc finger protein 883-like,,,
2,zinc finger protein with KRAB and SCAN domains 3-like isoform X1,,,
1,1-acyl-sn-glycerol-3-phosphate acyltransferase,,,
1,14-3-3 epsilon-like protein variant 2 (Fragment),,,
1,14-3-3 protein sigma,,,
1,14-3-3 protein zeta/delta,,,
1,17-beta-hydroxysteroid dehydrogenase type 6,,,
1,3-hydroxy-3-methylglutaryl coenzyme A synthase,,,
1,"3-hydroxyanthranilate 3,4-dioxygenase",,,
1,"3-ketoacyl-CoA thiolase, mitochondrial (Fragment)",,,
1,40S ribosomal protein S4,,,
1,4F2 cell-surface antigen heavy chain,,,
1,5'-nucleotidase ecto,,,
1,"6-phosphogluconate dehydrogenase, decarboxylating",,,
1,71kDa heat shock connate protein,,,
1,A disintegrin and metalloproteinase with thrombospondin motifs 9,,,
1,"A kinase anchor protein 1, mitochondrial (Fragment)",,,
1,A-kinase anchor protein 12-like,,,
1,A-kinase anchor protein 13,,,
1,A-kinase anchor protein 9,,,
1,A2M domain-containing protein,,,
1,AA_TRNA_LIGASE_II domain-containing protein,,,
1,AAA_12 domain-containing protein (Fragment),,,
1,AB hydrolase-1 domain-containing protein,,,
1,Abnormal spindle microtubule assembly,,,
1,Acetyltransferase component of pyruvate dehydrogenase complex,,,
1,acid-sensing ion channel 2 isoform X1,,,
1,"Aconitate hydratase, mitochondrial",,,
1,Actin binding Rho activating protein,,,
1,Activating transcription factor 7 interacting protein 2,,,
1,Acyl-CoA dehydrogenase very long chain,,,
1,Acyl-CoA synthetase family member 4,,,
1,"Acyl-CoA synthetase short-chain family member 3, mitochondrial",,,
1,"Acylpyruvase FAHD1, mitochondrial",,,
1,ADAM metallopeptidase with thrombospondin type 1 motif 3,,,
1,Adenosine deaminase RNA specific B1,,,
1,Adenylate kinase isoenzyme 1,,,
1,Adenylosuccinate lyase,,,
1,Adenylosuccinate synthetase,,,
1,Adenylosuccinate synthetase isozyme 1 C,,,
1,Adhesion G protein-coupled receptor D1,,,
1,ADNP homeobox protein 2-like isoform X1,,,
1,ADP ribosylation factor like GTPase 14,,,
1,ADP-ribosyl cyclase 1 (Fragment),,,
1,ADP-ribosylation factor,,,
1,Adrenomedullin 5,,,
1,Adseverin,,,
1,Alcohol dehydrogenase [NADP(+)] A,,,
1,Aldose 1-epimerase (Fragment),,,
1,ALK tyrosine kinase receptor,,,
1,Alkaline phosphatase,,,
1,Alkyl transferase,,,
1,"alpha-1,2-Mannosidase",,,
1,Alpha-1B adrenergic receptor,,,
1,alpha-2-macroglobulin-like,,,
1,alpha-actinin-2-like,,,
1,"Alpha-actinin, sarcomeric",,,
1,Amidophosphoribosyltransferase,,,
1,Amine oxidase,,,
1,Amyloid-beta A4 protein,,,
1,ANAPC8 domain-containing protein (Fragment),,,
1,Anaphase-promoting complex subunit 4,,,
1,Anaphylatoxin-like domain-containing protein,,,
1,Androgen dependent TFPI regulating protein,,,
1,Angiopoietin 2,,,
1,Angiopoietin-related protein 1,,,
1,Angiotensinogen,,,
1,Anion exchange protein,,,
1,Ankyrin repeat and LEM domain containing 1,,,
1,ankyrin repeat and MYND domain-containing protein 2-like,,,
1,Ankyrin repeat and SAM domain-containing protein 6,,,
1,Ankyrin repeat and sterile alpha motif domain containing 3,,,
1,ankyrin repeat and sterile alpha motif domain-containing protein 1B-like,,,
1,Ankyrin repeat domain 61,,,
1,Ankyrin repeat domain-containing protein 5 (Fragment),,,
1,Ankyrin repeat domain-containing protein 53,,,
1,Ankyrin repeat domain-containing protein 55,,,
1,ankyrin-3-like isoform X1,,,
1,Anoctamin,,,
1,AP-4 complex accessory subunit tepsin,,,
1,APC regulator of WNT signaling pathway 2,,,
1,apolipoprotein A-IV-like,,,
1,Apolipoprotein B,,,
1,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 2",,,
1,"ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 1",,,
1,Armadillo repeat containing X-linked 4,,,
1,aryl hydrocarbon receptor-like isoform X1,,,
1,Arylsulfatase B,,,
1,Asp_Arg_Hydrox domain-containing protein,,,
1,Aspartate aminotransferase,,,
1,AT rich interactive domain 4A (RBP1-like),,,
1,ATP binding cassette subfamily A member 4,,,
1,ATP binding cassette subfamily C member 11,,,
1,ATP synthase subunit,,,
1,ATP-binding cassette sub-family A member 3,,,
1,"ATP-binding cassette sub-family B member 6, mitochondrial",,,
1,"ATP-binding cassette sub-family B member 7, mitochondrial (Fragment)",,,
1,"ATP-binding cassette, sub-family C (CFTR/MRP), member 4",,,
1,ATP-dependent zinc metalloprotease YME1L1-like isoform X1,,,
1,ATR-interacting protein,,,
1,Atx10homo_assoc domain-containing protein,,,
1,"Atypical kinase COQ8B, mitochondrial",,,
1,autophagy-related protein 2 homolog A-like,,,
1,Autophagy-related protein 2-like protein B (Fragment),,,
1,B box-type domain-containing protein,,,
1,B30.2/SPRY domain-containing protein,,,
1,B7-H1/DC,,,
1,BAH and coiled-coil domain-containing protein 1-like,,,
1,Bardet-Biedl syndrome 12 protein-like,,,
1,Basonuclin 2,,,
1,Beclin 2,,,
1,Beta-2-microglobulin,,,
1,Beta-galactosidase,,,
1,Bifunctional apoptosis regulator,,,
1,Bifunctional lysine-specific demethylase and histidyl-hydroxylase (Fragment),,,
1,Bisphosphate nucleotidase 1,,,
1,Bleomycin hydrolase,,,
1,BRCA1-associated RING domain protein 1-like,,,
1,Brevican,,,
1,Bromodomain adjacent to zinc finger domain 1A,,,
1,BUB1 mitotic checkpoint serine/threonine kinase,,,
1,Butyrophilin subfamily 1 member A1 (Fragment),,,
1,C-Jun-amino-terminal kinase-interacting protein 4-like isoform X1,,,
1,C-terminal-binding protein 2 isoform X1,,,
1,C1q domain-containing protein,,,
1,C2 domain-containing protein,,,
1,C3H1-type domain-containing protein (Fragment),,,
1,Cadherin 26,,,
1,Cadherin 7,,,
1,cadherin-15,,,
1,Caffeine-induced protein 16,,,
1,Calcium-activated potassium channel subunit alpha-1,,,
1,Calmodulin,,,
1,Calpain 15,,,
1,Calpain catalytic domain-containing protein,,,
1,Cap-specific mRNA (Nucleoside-2'-O-)-methyltransferase 1,,,
1,CAP10 domain-containing protein,,,
1,Caprin family member 2,,,
1,Carbamoyl-phosphate synthetase 2,,,
1,Carbohydrate sulfotransferase 15,,,
1,CARD_2 domain-containing protein,,,
1,Carnosine synthase 1,,,
1,CASPASE_P20 domain-containing protein (Fragment),,,
1,Caspase-6,,,
1,Catalase,,,
1,Cathelicidin-B1,,,
1,CD101 molecule,,,
1,CD276 antigen,,,
1,Cell cycle control protein,,,
1,Cell cycle progression 1,,,
1,centlein-like,,,
1,Centrosomal protein 131,,,
1,Centrosome and spindle pole associated protein 1a,,,
1,Ceramide kinase like,,,
1,Ceramide synthase 2,,,
1,cerebellar degeneration-related protein 2-like isoform X1,,,
1,Charged multivesicular body protein 4b,,,
1,CHCH domain-containing protein,,,
1,Chloride anion exchanger,,,
1,chloride channel protein 1-like,,,
1,Citrate synthase,,,
1,Class II major histocompatibility complex transactivator,,,
1,Clavesin-2,,,
1,CNH domain-containing protein,,,
1,Coatomer subunit alpha,,,
1,Codanin-1,,,
1,COE1_DBD domain-containing protein,,,
1,Cofilin 1,,,
1,Coiled-coil and C2 domain-containing protein 1-like protein,,,
1,Coiled-coil domain-containing protein 5 (Fragment),,,
1,Coiled-coil domain-containing protein 53 (Fragment),,,
1,ColAa,,,
1,Collagen alpha-1(I) chain,,,
1,collagen alpha-1(II) chain isoform X1,,,
1,Collagen alpha-1(III) chain (Fragment),,,
1,collagen alpha-1(XI) chain isoform X7,,,
1,collagen alpha-3(IX) chain-like isoform X1,,,
1,collagen alpha-3(VI) chain-like isoform X1,,,
1,collagen alpha-3(VI) chain-like isoform X5,,,
1,Collagen type VI alpha 3 chain,,,
1,"Collagen, type II, alpha 1a",,,
1,Complement C1q binding protein,,,
1,Complement C1q subcomponent subunit A (Fragment),,,
1,Component of oligomeric golgi complex 5,,,
1,Condensin-2 complex subunit D3,,,
1,condensin-2 complex subunit G2,,,
1,Contactin 3,,,
1,Contactin-1,,,
1,contactin-1-like,,,
1,COP9 signalosome complex subunit 1,,,
1,Cornifelin,,,
1,"Creatine kinase, muscle (Fragment)",,,
1,CUB and Sushi multiple domains 3,,,
1,CUB domain-containing protein,,,
1,CUE domain-containing protein 1-like isoform X1,,,
1,Cyclic nucleotide-gated cation channel beta-3,,,
1,Cyclin dependent kinase inhibitor 2D,,,
1,Cyclin N-terminal domain-containing protein,,,
1,Cysteine protease,,,
1,Cystic fibrosis transmembrane conductance regulator (Fragment),,,
1,CYTB_NTER domain-containing protein,,,
1,Cytochrome c oxidase subunit 2,,,
1,Cytochrome c oxidase subunit 4I1,,,
1,Cytochrome c oxidase subunit 7C,,,
1,cytochrome P450 2F3-like,,,
1,"Cytochrome P450, family 27, subfamily B, polypeptide 1",,,
1,Cytohesin-4 (Fragment),,,
1,cytoplasmic dynein 2 heavy chain 1-like,,,
1,Cytoskeleton-associated protein 2-like,,,
1,D-amino acid oxidase,,,
1,D(1) dopamine receptor,,,
1,DDB1 and CUL4 associated factor 17,,,
1,DDE-1 domain-containing protein,,,
1,death-inducer obliterator 1,,,
1,Dedicator of cytokinesis 2,,,
1,Dedicator of cytokinesis 9,,,
1,Delphilin,,,
1,DENN domain-containing protein 5A isoform X1,,,
1,Deoxyribonuclease,,,
1,Desmoglein-1,,,
1,Desmoplakin,,,
1,Diaphanous related formin 3,,,
1,Dicer-like protein 2,,,
1,dipeptidyl peptidase 9-like isoform X1,,,
1,"Discs, large homolog 5a (Drosophila)",,,
1,disintegrin and metalloproteinase domain-containing protein 10,,,
1,Disks large-associated protein 1,,,
1,Disrupted in renal carcinoma protein 2-like,,,
1,DLp/HDL-BGBP,,,
1,Dmx like 2,,,
1,DNA polymerase,,,
1,DNA repair protein RAD52 homolog,,,
1,DNA topoisomerase 2-binding protein 1,,,
1,DNA_pol_B_2 domain-containing protein,,,
1,DNA-directed RNA polymerase,,,
1,DNA-directed RNA polymerase subunit,,,
1,DnaJ heat shock protein family (Hsp40) member C10,,,
1,DnaJ-like protein subfamily C member 2,,,
1,Drosha ribonuclease III,,,
1,dual oxidase 2-like,,,
1,Dual specificity tyrosine-phosphorylation-regulated kinase 2,,,
1,DUF2428 domain-containing protein,,,
1,DUF3668 domain-containing protein,,,
1,DUF4503 domain-containing protein,,,
1,DUF4704 domain-containing protein,,,
1,DUF4801 domain-containing protein,,,
1,Dynein axonemal heavy chain 1,,,
1,"Dynein heavy chain 5, axonemal",,,
1,"dynein heavy chain 8, axonemal-like",,,
1,E2F transcription factor 2,,,
1,E3 ubiquitin-protein ligase HERC2,,,
1,E3 ubiquitin-protein ligase RNF8,,,
1,E3 ubiquitin-protein ligase TRIM21-like,,,
1,E3 ubiquitin-protein ligase TRIM33,,,
1,E3 ubiquitin-protein ligase TRIM33-like isoform X5,,,
1,E4 ubiquitin-protein ligase,,,
1,Elastin microfibril interfacer 1a,,,
1,"Endo-1,3(4)-beta-glucanase 1",,,
1,Endoribonuclease Dicer,,,
1,endothelial zinc finger protein induced by tumor necrosis factor alpha-like,,,
1,Engulfment and cell motility protein 1,,,
1,Enhancer of filamentation 1,,,
1,Enolase-like protein ENO4,,,
1,Ephrin RBD domain-containing protein,,,
1,epidermal growth factor receptor kinase substrate 8 isoform X5,,,
1,epidermal growth factor receptor kinase substrate 8-like protein 3 isoform X1,,,
1,erythropoietin-like,,,
1,Estrogen sulfotransferase,,,
1,eukaryotic translation initiation factor 2-alpha kinase 1 isoform X1,,,
1,eukaryotic translation initiation factor 4 gamma 1-like,,,
1,exocyst complex component 3-like protein,,,
1,Exonuclease 1,,,
1,extended synaptotagmin-1-like,,,
1,Extended synaptotagmin-1-like protein (Fragment),,,
1,F-box and leucine-rich repeat protein 15,,,
1,F-box domain-containing protein,,,
1,F-box only protein 8 (Fragment),,,
1,F-box/LRR-repeat protein 6,,,
1,FAD-binding PCMH-type domain-containing protein,,,
1,Family with sequence similarity 110 member C,,,
1,Family with sequence similarity 151 member B,,,
1,Fascin,,,
1,"FAST kinase domain-containing protein 1, mitochondrial",,,
1,Fatty acid synthase,,,
1,"Fatty acid-binding protein, heart",,,
1,FDX-ACB domain-containing protein,,,
1,FERM domain containing 4A,,,
1,FERM domain-containing protein,,,
1,FERM domain-containing protein (Fragment),,,
1,Ferric-chelate reductase 1,,,
1,FGGY_N domain-containing protein,,,
1,Fibrillin-3,,,
1,fibroblast growth factor receptor homolog 1-like,,,
1,Fibropellin-1,,,
1,Fibulin-1,,,
1,Filamin A interacting protein 1,,,
1,Filamin-A,,,
1,Flotillin,,,
1,Fork-head domain-containing protein,,,
1,forkhead box protein P4-like isoform X7,,,
1,Formin-2,,,
1,"Fructose-1,6-bisphosphatase 1",,,
1,Fucose mutarotase,,,
1,FYVE-type domain-containing protein,,,
1,G protein pathway suppressor 2-like,,,
1,G-protein coupled receptor 4-like,,,
1,Galactokinase,,,
1,gamma-aminobutyric acid receptor subunit rho-3-like,,,
1,Gamma-glutamyltransferase 5a,,,
1,Gamma-synuclein,,,
1,Gasdermin A,,,
1,GC-rich sequence DNA-binding factor (Fragment),,,
1,"GDP-mannose 4,6-dehydratase",,,
1,"General transcription factor IIH, polypeptide 1",,,
1,Gephyrin,,,
1,GLTP domain-containing protein,,,
1,Glucose-6-phosphate 1-dehydrogenase,,,
1,"Glucuronidase, beta",,,
1,Glutamate receptor-interacting protein 1,,,
1,Glutathione S-transferase kappa,,,
1,glycerophosphocholine phosphodiesterase GPCPD1-like isoform X1,,,
1,Glycine cleavage system P protein,,,
1,Glycogen debranching enzyme (Fragment),,,
1,glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1-B-like,,,
1,Glycosyltransferase-like domain-containing protein 2,,,
1,Glyoxylate reductase/hydroxypyruvate reductase,,,
1,glypican-5-like isoform X2,,,
1,Golgin A3,,,
1,Golgin A4,,,
1,Golgin subfamily A member 4,,,
1,GPI inositol-deacylase,,,
1,GRIP and coiled-coil domain containing 1,,,
1,Growth differentiation factor 10b,,,
1,Guanine nucleotide-binding protein subunit alpha-13,,,
1,guanine nucleotide-binding protein-like 3-like protein,,,
1,GYF_2 domain-containing protein,,,
1,H15 domain-containing protein,,,
1,"heat shock protein 75 kDa, mitochondrial-like",,,
1,Heat shock protein HSP 90-alpha,,,
1,Heavy metal-binding protein HIP,,,
1,HECT domain-containing protein,,,
1,helicase SRCAP isoform X3,,,
1,Helicase with zinc finger 2,,,
1,Hemicentin-1,,,
1,Hepatocyte growth factor receptor,,,
1,Histidine triad Nucleotide-binding protein 3,,,
1,Histone deacetylase 4 (Fragment),,,
1,histone H1-like isoform X1,,,
1,histone-lysine N-methyltransferase 2E-like,,,
1,histone-lysine N-methyltransferase NSD3-like isoform X1,,,
1,"Histone-lysine N-methyltransferase, H3 lysine-9 specific 5",,,
1,Homeobox protein TGIF2LX,,,
1,Homeobox-containing protein 1,,,
1,Host cell factor,,,
1,Host cell factor C1a,,,
1,HTH CENPB-type domain-containing protein,,,
1,HTH_Tnp_Tc3_2 domain-containing protein,,,
1,Hyaluronan mediated motility receptor,,,
1,Hydroxysteroid (11-beta) dehydrogenase 1-like a,,,
1,Hypoxia-inducible factor alpha-like isoform a,,,
1,IG domain-containing protein,,,
1,Inhibitory synaptic factor family member 2B,,,
1,"Inositol 1,4,5-trisphosphate receptor, type 3",,,
1,Inositol 3-trisphosphate receptor type (Fragment),,,
1,Inositol oxygenase,,,
1,INSC_LBD domain-containing protein,,,
1,Integrase catalytic domain-containing protein,,,
1,Integrator complex subunit 9,,,
1,Integrin alpha-9,,,
1,Integrin beta,,,
1,Interferon beta-1,,,
1,interferon-induced GTP-binding protein Mx2-like,,,
1,interferon-induced GTP-binding protein Mx3-like,,,
1,interferon-induced protein 44-like,,,
1,interferon-induced very large GTPase 1-like,,,
1,interferon-induced very large GTPase 1-like isoform X1,,,
1,Interleukin-1 receptor-associated kinase 4,,,
1,Interleukin-22 receptor subunit alpha-2,,,
1,Intraflagellar transport 140,,,
1,Ionotropic glutamate receptor kainate 1B (Fragment),,,
1,iroquois-class homeodomain protein IRX-1-like,,,
1,"isoleucine--tRNA ligase, cytoplasmic",,,
1,J domain-containing protein,,,
1,Joining chain of multimeric IgA and IgM,,,
1,Jumonji domain containing 1C,,,
1,jun dimerization protein 2-like,,,
1,Katanin p60 ATPase-containing subunit A-like 2,,,
1,kelch repeat and BTB domain-containing protein 13-like,,,
1,kelch-like protein 40b,,,
1,Keratin 23,,,
1,"Keratin, type I microfibrillar, 47.6 kDa",,,
1,KIAA1324,,,
1,Kielin/chordin-like protein,,,
1,Kinase,,,
1,Kinectin,,,
1,Kinectin 1,,,
1,Kinesin family member 11,,,
1,Kinesin family member 7,,,
1,Kinesin-like protein,,,
1,KN motif and ankyrin repeat domain-containing protein 1 isoform X1,,,
1,Kynureninase,,,
1,Laminin subunit beta 2,,,
1,laminin subunit gamma-1-like,,,
1,laminin subunit gamma-3-like,,,
1,LanC-like protein 2 (Fragment),,,
1,Large tumor suppressor kinase 1,,,
1,Lariat debranching enzyme,,,
1,Leucine rich repeat containing 31,,,
1,Leucine rich repeat kinase 1,,,
1,Leucine zipper and EF-hand containing transmembrane protein 1,,,
1,leucine-rich alpha-2-glycoprotein-like,,,
1,leucine-rich repeat serine/threonine-protein kinase 2 isoform X1,,,
1,Leucine-rich repeat transmembrane neuronal protein 4,,,
1,leucine-rich repeat-containing protein 14B,,,
1,Leucine-rich repeats and WD repeat domain containing 1,,,
1,LIM domain 7,,,
1,LIM domain only protein 7 isoform X4,,,
1,LIM domain-containing protein 1,,,
1,Lipase maturation factor,,,
1,Lipoprotein lipase,,,
1,lipoxygenase homology domain-containing protein 1,,,
1,LON peptidase N-terminal domain and RING finger protein 1-like isoform X1,,,
1,long-chain-fatty-acid--CoA ligase 3-like,,,
1,long-chain-fatty-acid--CoA ligase 5,,,
1,Low density lipoprotein receptor class A domain containing 1,,,
1,Low molecular weight neuronal intermediate filament,,,
1,LOW QUALITY PROTEIN: lanC-like protein 3,,,
1,LOW QUALITY PROTEIN: pecanex-like protein 4,,,
1,LOW QUALITY PROTEIN: RNA-binding protein 33,,,
1,LRR binding FLII interacting protein 1,,,
1,LRRC24 protein,,,
1,Lysine demethylase 3A,,,
1,lysine-specific demethylase 6A-like isoform X2,,,
1,lysosomal acid phosphatase isoform X1,,,
1,Lysosomal trafficking regulator,,,
1,macrophage mannose receptor 1-like,,,
1,Macrophage migration inhibitory factor,,,
1,"Major histocompatibility complex, class II, DR alpha",,,
1,Malate dehydrogenase,,,
1,"Mannose receptor, C type 2",,,
1,Mannosyltransferase,,,
1,MAPK interacting serine/threonine kinase 1,,,
1,MARCKS-related protein-like,,,
1,matrilin-2-like isoform X3,,,
1,Matrin-3,,,
1,meiosis-specific coiled-coil domain-containing protein MEIOC isoform X1,,,
1,Merlin,,,
1,Mesothelin-like protein,,,
1,Metallothionein-B,,,
1,Methionine synthase,,,
1,Methylmalonyl-CoA mutase,,,
1,MFS domain-containing protein,,,
1,MHC class II antigen (Fragment),,,
1,MHC class II DQ alpha,,,
1,MICAL-like protein 2,,,
1,microtubule-actin cross-linking factor 1-like isoform X8,,,
1,Microtubule-associated protein 1A,,,
1,Migration and invasion-inhibitory protein,,,
1,Mitochondrial 2-oxoglutarate/malate carrier protein,,,
1,Mitochondrial antiviral signaling protein,,,
1,Mitogen-activated protein kinase-binding protein 1,,,
1,"Moloney leukemia virus 10b, tandem duplicate 2",,,
1,Molybdopterin molybdenumtransferase,,,
1,MORC family CW-type zinc finger protein 3,,,
1,MRN complex interacting protein,,,
1,MTSS I-BAR domain containing 2,,,
1,mucin-5AC-like,,,
1,Multidrug resistance protein 1,,,
1,Multiple EGF-like-domains 6b,,,
1,Multiple EGF-like-domains 8,,,
1,Multiple epidermal growth factor-like domains protein 6,,,
1,Muscleblind like splicing regulator 1,,,
1,Myeloid-specific peroxidase,,,
1,MYND-type domain-containing protein,,,
1,myomegalin-like isoform X6,,,
1,Myomesin 1,,,
1,"Myosin heavy chain, striated muscle",,,
1,Myosin IA,,,
1,Myosin light chain 2,,,
1,Myosin light chain 3,,,
1,myosin phosphatase Rho-interacting protein-like isoform X1,,,
1,myosin-10 isoform X12,,,
1,myotubularin-related protein 4 isoform X1,,,
1,N-acetylglucosamine-1-phosphate transferase subunit gamma,,,
1,N-acetylneuraminate lyase,,,
1,N-acetyltransferase domain-containing protein,,,
1,"N(alpha)-acetyltransferase 80, NatH catalytic subunit",,,
1,NADH-ubiquinone oxidoreductase chain 1,,,
1,"nascent polypeptide-associated complex subunit alpha, muscle-specific form-like isoform X1",,,
1,Nebulin-related anchoring protein,,,
1,Nectin 2,,,
1,Neural cell adhesion molecule 1b,,,
1,neural cell adhesion molecule L1.1-like isoform X1,,,
1,Neurexin 1,,,
1,Neurexophilin,,,
1,Neurite extension and migration factor b,,,
1,neurofascin isoform X5,,,
1,Neuronal acetylcholine receptor subunit alpha-2,,,
1,Neuronal PAS domain-containing protein 4,,,
1,Neuropilin and tolloid like 2,,,
1,NFX1-type zinc finger-containing protein 1,,,
1,Nitric oxide associated 1,,,
1,Nitric oxide synthase,,,
1,"nuclear factor 7, brain-like",,,
